Team,Conf.,Rec.,2ndO Wins,S&P+P,S&P+R,Rk,Off. S&P+,Rk,Def. S&P+,Rk,ST S&P+,Rk,SOS,Rk,Year
UL-Monroe,Sun Belt,5-Aug,5.6 (-2.4),18.30%,-12,101,26.6,72,37.1,106,-1.5,104,0.963,109,2012
Kansas,Big 12,11-Jan,1.9 (0.9),17.20%,-12.6,102,23.5,92,34.1,90,-2,118,0.817,8,2012
Florida International,Sun Belt,9-Mar,6.0 (3.0),16.90%,-12.7,103,23.5,91,34.6,93,-1.7,112,0.969,114,2012
Texas State,WAC,8-Apr,4.6 (0.6),16.70%,-12.9,104,26.5,76,41.8,118,2.4,6,0.953,95,2012
New Mexico,MWC,9-Apr,4.4 (0.4),15.90%,-13.4,105,26.6,71,39.8,115,-0.2,69,0.936,78,2012
Wyoming,MWC,8-Apr,4.6 (0.6),14.60%,-14.2,106,26.6,73,39.2,112,-1.6,108,0.943,86,2012
North Texas,Sun Belt,8-Apr,4.5 (0.5),14.20%,-14.4,107,21.4,100,34.9,95,-0.9,89,0.93,72,2012
UTEP,C-USA,9-Mar,2.8 (-0.2),11.80%,-16.1,108,21.1,103,36.6,105,-0.7,82,0.916,62,2012
Miami-OH,MAC,8-Apr,3.0 (-1.0),11.70%,-16.2,109,22.7,96,39.4,113,0.5,46,0.937,81,2012
Buffalo,MAC,8-Apr,5.1 (1.1),11.60%,-16.3,110,14.2,121,29.4,72,-1.2,100,0.932,73,2012
UNLV,MWC,11-Feb,3.1 (1.1),11.00%,-16.7,111,19,112,35.4,97,-0.3,74,0.961,108,2012
Colorado,Pac-12,11-Jan,1.4 (0.4),10.50%,-17.2,112,20.2,106,37.5,107,0.2,57,0.856,31,2012
Florida Atlantic,Sun Belt,9-Mar,4.7 (1.7),9.70%,-17.9,113,18.4,114,33.6,87,-2.7,123,0.899,56,2012
Southern Miss,C-USA,0-12,2.3 (2.3),8.80%,-18.6,114,18.4,113,36,101,-1,95,0.936,79,2012
Hawaii,MWC,9-Mar,3.1 (0.1),8.30%,-19.1,115,14.7,118,32.8,82,-1,93,0.928,70,2012
Akron,MAC,11-Jan,3.2 (2.2),7.90%,-19.5,116,20,108,39,111,-0.5,79,0.956,103,2012
UTSA,WAC,4-Jun,4.2 (-1.8),7.40%,-20.1,117,23.5,93,42.4,120,-1.1,98,0.97,116,2012
Tulane,C-USA,10-Feb,2.2 (0.2),5.30%,-22.5,118,17.8,116,41.3,117,1,30,0.967,112,2012
Eastern Michigan,MAC,10-Feb,2.2 (0.2),5.00%,-23,119,17.9,115,42.2,119,1.2,21,0.961,107,2012
Army,Ind,10-Feb,3.1 (1.1),4.90%,-23.1,120,23.1,95,44.8,123,-1.4,103,0.969,115,2012
South Alabama,Sun Belt,11-Feb,2.2 (0.2),3.50%,-25.5,121,9.7,123,34.3,91,-0.9,90,0.976,121,2012
Idaho,WAC,11-Jan,2.0 (1.0),1.60%,-30.6,122,11.6,122,43.2,122,1.1,25,0.92,66,2012
New Mexico State,WAC,11-Jan,2.0 (1.0),1.00%,-33.3,123,14.5,119,46.1,124,-1.7,113,0.958,106,2012
Massachusetts,MAC,11-Jan,0.9 (-0.1),0.80%,-34.4,124,8.4,124,43.1,121,0.3,53,0.945,87,2012
Alabama,SEC,1-Dec,12.3 (0.3),98.30%,32.5,1,39.3,13,6.4,1,-0.5,77,0.836,16,2011
LSU,SEC,13-1,11.4 (-1.6),98.10%,31.9,2,37.5,18,7.7,2,2.1,3,0.792,1,2011
Oklahoma,Big 12,3-Oct,10.8 (0.8),97.50%,30.1,3,42.7,7,14.6,7,1.9,10,0.835,14,2011
Oklahoma State,Big 12,1-Dec,11.7 (-0.3),97.20%,29.4,4,49.2,1,21.4,38,1.5,17,0.847,21,2011
Oregon,Pac-12,2-Dec,12.7 (0.7),96.10%,27.2,5,46.3,3,19.9,29,0.8,35,0.848,22,2011
Wisconsin,Big Ten,3-Nov,11.2 (0.2),95.40%,26.1,6,45.9,4,21.2,36,1.5,19,0.876,40,2011
USC,Pac-12,2-Oct,9.4 (-0.6),94.40%,24.7,7,43.5,6,21,33,2.2,2,0.874,38,2011
Boise State,MWC,1-Dec,12.0 (0.0),93.00%,23,8,40.1,10,17.5,15,0.4,48,0.928,76,2011
Georgia,SEC,4-Oct,10.2 (0.2),92.90%,22.9,9,32.7,34,10.3,3,0.5,43,0.85,24,2011
Florida State,ACC,4-Sep,9.8 (0.8),92.90%,22.8,10,32.2,39,12.1,4,2.8,1,0.893,49,2011
Texas A&M,Big 12,6-Jul,9.6 (2.6),92.70%,22.7,11,41.8,8,20.5,31,1.4,22,0.834,13,2011
Arkansas,SEC,2-Nov,9.1 (-1.9),91.60%,21.6,12,39.5,11,19.9,30,2,7,0.832,12,2011
Michigan State,Big Ten,3-Nov,10.5 (-0.5),90.10%,20.2,13,33.5,26,14.7,9,1.4,20,0.841,19,2011
Stanford,Pac-12,2-Nov,10.5 (-0.5),89.90%,20,14,44.6,5,24.5,50,-0.1,61,0.854,29,2011
Michigan,Big Ten,2-Nov,9.1 (-1.9),89.90%,20,15,39.3,12,18.8,21,-0.5,80,0.885,45,2011
Texas,Big 12,5-Aug,7.4 (-0.6),88.10%,18.6,16,31.1,43,13,5,0.5,44,0.835,15,2011
South Carolina,SEC,2-Nov,10.2 (-0.8),88.00%,18.6,17,33.3,29,14.6,8,-0.2,63,0.879,41,2011
Notre Dame,Ind,5-Aug,9.0 (1.0),86.00%,17.2,18,34.6,25,17,11,-0.4,76,0.853,26,2011
West Virginia,Big East,3-Oct,10.0 (0.0),85.30%,16.8,19,38.7,14,21,34,-0.9,93,0.904,55,2011
Miami-FL,ACC,6-Jun,8.0 (2.0),84.80%,16.4,20,35.9,22,21.2,37,1.7,15,0.902,54,2011
TCU,MWC,2-Nov,10.7 (-0.3),83.60%,15.7,21,37.7,16,23.3,47,1.3,24,0.943,92,2011
Virginia Tech,ACC,3-Nov,10.1 (-0.9),83.10%,15.4,22,33.5,27,17.3,14,-0.8,88,0.926,74,2011
Missouri,Big 12,5-Aug,8.6 (0.6),82.50%,15,23,37.7,17,22,41,-0.6,84,0.836,17,2011
Florida,SEC,6-Jul,7.0 (0.0),81.90%,14.7,24,28.6,57,15.9,10,2,6,0.808,4,2011
Nebraska,Big Ten,4-Sep,8.2 (-0.8),81.60%,14.5,25,32.4,37,19.4,25,1.5,16,0.859,32,2011
Houston,C-USA,13-1,11.7 (-1.3),81.00%,14.2,26,40.3,9,26.5,59,0.5,46,0.959,106,2011
Ohio State,Big Ten,7-Jun,6.3 (0.3),79.20%,13.2,27,28.5,58,17,12,1.8,13,0.851,25,2011
Iowa,Big Ten,6-Jul,7.6 (0.6),78.40%,12.8,28,32.4,36,19.7,26,0.1,56,0.875,39,2011
Cincinnati,Big East,3-Oct,9.2 (-0.8),78.30%,12.8,29,30.1,49,17.8,17,0.5,45,0.934,82,2011
Southern Miss,C-USA,2-Dec,11.0 (-1.0),77.10%,12.2,30,30.8,45,19.7,27,1.1,28,0.962,108,2011
California,Pac-12,6-Jun,7.3 (1.3),77.10%,12.2,31,32.2,38,21.1,35,1.1,29,0.865,36,2011
Penn State,Big Ten,4-Sep,7.7 (-1.3),75.60%,11.5,32,25.2,77,13.3,6,-0.4,73,0.853,28,2011
Baylor,Big 12,3-Oct,9.1 (-0.9),74.30%,10.9,33,47,2,35.5,100,-0.6,83,0.828,9,2011
Arizona State,Pac-12,7-Jun,7.3 (1.3),71.90%,9.9,34,36.6,19,27.9,64,1.2,26,0.86,34,2011
South Florida,Big East,7-May,7.4 (2.4),71.60%,9.7,35,29.8,52,19.8,28,-0.3,68,0.907,59,2011
Auburn,SEC,5-Aug,6.9 (-1.1),70.00%,9,36,31.2,42,24,48,1.9,11,0.809,5,2011
Vanderbilt,SEC,7-May,7.6 (2.6),67.90%,8.1,37,26.8,64,17.8,16,-0.8,89,0.848,23,2011
Mississippi State,SEC,6-Jul,7.0 (0.0),67.40%,8,38,26,71,18.2,18,0.1,55,0.83,11,2011
Clemson,ACC,4-Oct,8.5 (-1.5),67.00%,7.8,39,35.4,24,28.9,69,1.2,25,0.888,47,2011
Kansas State,Big 12,3-Oct,5.4 (-4.6),66.60%,7.6,40,32.1,40,24.6,51,0.2,52,0.805,3,2011
Louisville,Big East,6-Jul,6.9 (-0.1),65.40%,7.2,41,25.5,75,18.8,22,0.4,49,0.935,85,2011
Tennessee,SEC,7-May,5.7 (0.7),64.80%,6.9,42,27,61,18.8,20,-1.3,104,0.795,2,2011
BYU,Ind,3-Oct,8.6 (-1.4),64.60%,6.9,43,26.5,67,19.2,23,-0.4,72,0.94,88,2011
Illinois,Big Ten,6-Jul,6.9 (-0.1),64.50%,6.8,44,23.6,85,17.1,13,0.3,51,0.895,51,2011
North Carolina,ACC,6-Jul,8.5 (1.5),63.60%,6.4,45,32.9,31,25.2,55,-1.2,102,0.918,67,2011
Utah,Pac-12,5-Aug,7.0 (-1.0),63.50%,6.4,46,22.8,92,18.3,19,2,9,0.915,65,2011
Toledo,MAC,4-Sep,9.0 (0.0),63.00%,6.2,47,36,21,30,74,0.2,54,0.939,87,2011
Pittsburgh,Big East,7-Jun,5.9 (-0.1),61.30%,5.6,48,25.6,74,20.9,32,0.8,34,0.907,60,2011
Central Florida,C-USA,7-May,7.7 (2.7),60.10%,5.1,49,27,60,22.7,43,0.9,33,0.964,110,2011
Georgia Tech,ACC,5-Aug,7.3 (-0.7),60.10%,5.1,50,32.6,35,26.3,58,-1.2,100,0.913,62,2011
Texas Tech,Big 12,7-May,4.4 (-0.6),59.40%,4.8,51,38.6,15,34.5,94,0.7,38,0.828,10,2011
Temple,MAC,4-Sep,8.7 (-0.3),58.90%,4.6,52,26.4,70,22.5,42,0.7,36,0.972,116,2011
Washington,Pac-12,6-Jul,6.2 (-0.8),57.00%,3.9,53,36.4,20,34.4,93,2,8,0.865,35,2011
Virginia,ACC,5-Aug,6.7 (-1.3),56.30%,3.7,54,27.5,59,23,45,-0.9,90,0.906,58,2011
UCLA,Pac-12,8-Jun,6.3 (0.3),55.80%,3.5,55,32,41,29,71,0.5,42,0.853,27,2011
Purdue,Big Ten,6-Jul,6.0 (-1.0),54.70%,3.1,56,26.5,68,24.8,52,1.4,21,0.882,42,2011
Tulsa,C-USA,5-Aug,8.1 (0.1),53.20%,2.5,57,29.8,53,27.3,62,0,58,0.865,37,2011
Northern Illinois,MAC,3-Nov,9.7 (-1.3),52.30%,2.2,58,32.7,32,29.6,72,-0.9,91,0.953,102,2011
Louisiana Tech,WAC,5-Aug,8.1 (0.1),51.60%,1.9,59,23.6,86,22.9,44,1.2,27,0.941,89,2011
Ohio,MAC,4-Oct,10.3 (0.3),48.90%,0.9,60,30.3,48,30.8,78,1.5,18,0.979,119,2011
Rutgers,Big East,4-Sep,6.4 (-2.6),48.60%,0.8,61,20.5,98,19.3,24,-0.4,71,0.93,79,2011
Northwestern,Big Ten,7-Jun,6.7 (0.7),48.00%,0.6,62,33.3,28,31.2,79,-1.5,107,0.883,44,2011
SMU,C-USA,5-Aug,8.1 (0.1),47.20%,0.3,63,28.6,56,26.3,57,-2,113,0.915,64,2011
Western Michigan,MAC,6-Jul,7.8 (0.8),45.60%,-0.3,64,30.8,44,33.2,89,2.1,5,0.949,100,2011
Nevada,WAC,6-Jul,8.3 (1.3),45.30%,-0.4,65,30.4,47,28.7,68,-2,114,0.912,61,2011
Iowa State,Big 12,7-Jun,4.7 (-1.3),45.10%,-0.4,66,24.8,80,25,54,-0.3,67,0.823,8,2011
Air Force,MWC,6-Jul,6.7 (-0.3),44.50%,-0.7,67,32.9,30,33.9,91,0.3,50,0.93,80,2011
Utah State,WAC,6-Jul,8.4 (1.4),43.80%,-0.9,68,32.7,33,32.5,86,-1.1,97,0.969,113,2011
Connecticut,Big East,7-May,4.4 (-0.6),43.60%,-1,69,19.7,103,21.7,39,1.1,30,0.924,71,2011
NC State,ACC,5-Aug,6.4 (-1.6),43.50%,-1.1,70,24.5,81,24.4,49,-1.2,101,0.926,72,2011
San Diego State,MWC,5-Aug,8.0 (0.0),42.20%,-1.5,71,29.9,50,30.2,75,-1.3,105,0.928,77,2011
Washington State,Pac-12,8-Apr,4.3 (0.3),41.70%,-1.7,72,29.9,51,32.3,84,0.7,39,0.895,52,2011
Bowling Green,MAC,7-May,6.8 (1.8),41.00%,-2,73,26.6,65,28.5,67,-0.1,62,0.954,104,2011
Hawaii,WAC,7-Jun,7.6 (1.6),40.70%,-2.1,74,29.5,55,31.2,80,-0.4,70,0.975,117,2011
Arizona,Pac-12,8-Apr,4.8 (0.8),39.80%,-2.4,75,35.9,23,36.4,104,-1.9,111,0.838,18,2011
Syracuse,Big East,7-May,4.8 (-0.2),38.60%,-2.9,76,25.2,78,26.9,60,-1.2,103,0.898,53,2011
East Carolina,C-USA,7-May,5.6 (0.6),38.30%,-3,77,26.8,63,29.8,73,0,57,0.918,66,2011
Arkansas State,Sun Belt,3-Sep,9.4 (0.4),37.50%,-3.3,78,23.3,88,26.2,56,-0.4,74,0.971,115,2011
Wake Forest,ACC,7-May,5.5 (0.5),36.90%,-3.5,79,26.4,69,28.9,70,-1,96,0.904,56,2011
Minnesota,Big Ten,9-Mar,3.3 (0.3),36.30%,-3.8,80,23.8,84,28.1,65,0.5,41,0.842,20,2011
UTEP,C-USA,7-May,5.5 (0.5),35.40%,-4.1,81,26.8,62,31.9,83,0.9,32,0.945,93,2011
Boston College,ACC,8-Apr,4.1 (0.1),34.50%,-4.5,82,21,97,24.9,53,-0.5,81,0.895,50,2011
Kentucky,SEC,7-May,4.1 (-0.9),33.30%,-5,83,16.4,113,23.1,46,1.7,14,0.858,31,2011
Oregon State,Pac-12,9-Mar,3.6 (0.6),32.80%,-5.2,84,25.2,79,30.6,77,0.2,53,0.854,30,2011
Miami-OH,MAC,8-Apr,5.4 (1.4),32.40%,-5.3,85,25.3,76,27.6,63,-3.1,120,0.945,94,2011
Fresno State,WAC,9-Apr,5.9 (1.9),30.90%,-6,86,30.4,46,35.7,101,-0.7,85,0.932,81,2011
Maryland,ACC,10-Feb,3.4 (1.4),26.20%,-8,87,26.6,66,32.8,87,-1.8,108,0.885,46,2011
Marshall,C-USA,6-Jul,4.5 (-2.5),26.10%,-8,88,20.5,99,28.5,66,-0.1,60,0.919,68,2011
Florida International,Sun Belt,5-Aug,8.0 (0.0),25.10%,-8.5,89,17.5,107,26.9,61,0.9,31,0.982,120,2011
Colorado,Pac-12,10-Mar,3.3 (0.3),24.40%,-8.8,90,26,72,34.6,96,-0.2,66,0.859,33,2011
Navy,Ind,7-May,4.6 (-0.4),23.10%,-9.4,91,29.6,54,38,110,-1,95,0.934,83,2011
Ole Miss,SEC,10-Feb,1.8 (-0.2),22.60%,-9.7,92,19.9,100,31.4,82,1.8,12,0.815,6,2011
UL-Lafayette,Sun Belt,4-Sep,7.5 (-1.5),22.40%,-9.8,93,22,94,33.1,88,1.3,23,0.953,103,2011
Kent State,MAC,7-May,4.5 (-0.5),21.00%,-10.4,94,11.8,118,21.9,40,-0.4,69,0.926,73,2011
San Jose State,WAC,7-May,3.4 (-1.6),18.30%,-11.9,95,23.5,87,35.2,97,-0.2,64,0.948,98,2011
Rice,C-USA,8-Apr,3.5 (-0.5),18.10%,-12,96,19.6,104,33.7,90,2.1,4,0.921,69,2011
Colorado State,MWC,9-Mar,3.8 (0.8),17.10%,-12.6,97,22.3,93,34.4,92,-0.4,75,0.942,91,2011
Duke,ACC,9-Mar,3.6 (0.6),15.90%,-13.3,98,23.1,90,35.5,99,-0.9,92,0.891,48,2011
Ball State,MAC,6-Jun,3.7 (-2.3),15.40%,-13.6,99,24.4,82,38.4,112,0.5,47,0.923,70,2011
Wyoming,MWC,5-Aug,5.2 (-2.8),14.50%,-14.2,100,24.3,83,36.7,105,-1.8,109,0.928,75,2011
Kansas,Big 12,10-Feb,2.0 (0.0),13.20%,-15,101,25.6,73,38.7,114,-2,112,0.815,7,2011
Eastern Michigan,MAC,6-Jun,6.4 (0.4),12.80%,-15.3,102,16.1,114,31.4,81,-0.1,59,0.949,99,2011
UL-Monroe,Sun Belt,8-Apr,5.6 (1.6),12.20%,-15.7,103,17.4,108,30.2,76,-2.9,118,0.937,86,2011
Western Kentucky,Sun Belt,5-Jul,5.3 (-1.7),11.70%,-16.1,104,16.9,110,32.4,85,-0.6,82,0.947,97,2011
Indiana,Big Ten,11-Jan,2.0 (1.0),10.60%,-16.9,105,21.8,95,38.5,113,-0.2,65,0.882,43,2011
North Texas,Sun Belt,7-May,4.6 (-0.4),9.20%,-18.1,106,18.7,105,36.2,103,-0.5,78,0.929,78,2011
Troy,Sun Belt,9-Mar,3.7 (0.7),8.80%,-18.5,107,19.8,102,37.3,106,-1,94,0.96,107,2011
New Mexico State,WAC,9-Apr,4.5 (0.5),8.60%,-18.7,108,23.3,89,39.4,116,-2.5,116,0.946,95,2011
Central Michigan,MAC,9-Mar,4.6 (1.6),8.30%,-18.9,109,21.1,96,39.2,115,-0.7,86,0.952,101,2011
UAB,C-USA,9-Mar,2.1 (-0.9),8.10%,-19.2,110,22.9,91,42.8,120,0.7,37,0.934,84,2011
Buffalo,MAC,9-Mar,4.4 (1.4),7.70%,-19.5,111,17.7,106,35.8,102,-1.4,106,0.964,111,2011
Army,Ind,9-Mar,3.9 (0.9),6.50%,-20.9,112,19.9,101,37.7,107,-3.1,119,0.965,112,2011
Tulane,C-USA,11-Feb,3.5 (1.5),5.60%,-21.9,113,16.9,109,37.7,108,-1.1,99,0.969,114,2011
Idaho,WAC,10-Feb,2.1 (0.1),4.50%,-23.5,114,10.5,119,34.5,95,0.5,40,0.942,90,2011
UNLV,MWC,10-Feb,1.9 (-0.1),4.10%,-24.1,115,14.3,116,37.9,109,-0.5,79,0.906,57,2011
Middle Tennessee,Sun Belt,10-Feb,3.5 (1.5),3.80%,-24.6,116,16.6,112,40,117,-1.1,98,0.976,118,2011
Memphis,C-USA,10-Feb,2.2 (0.2),3.20%,-25.9,117,14.6,115,38.3,111,-2.2,115,0.963,109,2011
New Mexico,MWC,11-Jan,1.7 (0.7),2.30%,-27.9,118,16.9,111,41.9,119,-2.9,117,0.913,63,2011
Akron,MAC,11-Jan,1.9 (0.9),1.90%,-29.1,119,11.9,117,40.2,118,-0.7,87,0.956,105,2011
Florida Atlantic,Sun Belt,11-Jan,1.4 (0.4),1.40%,-30.7,120,6.6,120,35.4,98,-1.9,110,0.946,96,2011
Florida,SEC,13-1,12.6 (-0.4),98.40%,32.8,1,39.4,2,8,3,1.5,18,0.83,15,2009
Alabama,SEC,14-0,12.0 (-2.0),97.50%,30.2,2,35,23,6.5,1,1.7,11,0.773,1,2009
Texas,Big 12,13-1,11.1 (-1.9),97.40%,30,3,37.6,10,9.2,6,1.6,17,0.84,21,2009
Virginia Tech,ACC,3-Oct,11.0 (1.0),96.30%,27.8,4,36.6,12,11.1,10,2.3,3,0.842,23,2009
TCU,MWC,1-Dec,12.4 (0.4),95.00%,25.6,5,36,15,11.4,11,1,29,0.916,75,2009
Miami-FL,ACC,4-Sep,9.7 (0.7),94.60%,25,6,38.5,7,15.1,16,1.7,15,0.857,28,2009
Texas Tech,Big 12,4-Sep,10.6 (1.6),94.30%,24.6,7,38.5,5,14.4,14,0.5,40,0.857,27,2009
LSU,SEC,4-Sep,8.6 (-0.4),92.90%,23,8,30.8,41,10.3,8,2.6,2,0.801,5,2009
Oregon,Pac-10,3-Oct,10.3 (0.3),92.30%,22.4,9,36.2,13,15.5,18,1.7,12,0.857,26,2009
Oklahoma,Big 12,5-Aug,9.1 (1.1),92.30%,22.3,10,31.4,36,8.6,4,-0.4,73,0.81,7,2009
Penn State,Big Ten,2-Nov,10.5 (-0.5),91.80%,21.9,11,34.2,25,10.9,9,-1.4,104,0.898,66,2009
Ohio State,Big Ten,2-Nov,9.6 (-1.4),90.80%,21,12,30,48,9.3,7,0.3,48,0.868,33,2009
Nebraska,Big 12,4-Oct,9.3 (-0.7),89.60%,19.9,13,25.9,66,7.8,2,1.9,8,0.836,20,2009
Boise State,WAC,14-0,12.4 (-1.6),89.50%,19.9,14,36.9,11,17.7,27,0.6,38,0.927,84,2009
Georgia,SEC,5-Aug,8.0 (0.0),88.60%,19.1,15,33.6,27,16.8,23,2.3,4,0.813,8,2009
Cincinnati,Big East,1-Dec,11.2 (-0.8),87.30%,18.2,16,40.8,1,23.4,45,0.9,32,0.88,48,2009
Pittsburgh,Big East,3-Oct,9.5 (-0.5),86.90%,17.9,17,36.1,14,19.8,34,1.6,16,0.918,78,2009
Auburn,SEC,5-Aug,7.2 (-0.8),86.10%,17.4,18,35.6,16,19.6,33,1.4,21,0.829,14,2009
Iowa,Big Ten,2-Nov,9.9 (-1.1),86.00%,17.3,19,25.1,72,8.9,5,1.1,26,0.885,53,2009
Wisconsin,Big Ten,3-Sep,9.4 (0.4),85.40%,16.9,20,35.5,18,19.4,32,0.9,31,0.886,54,2009
Ole Miss,SEC,4-Sep,9.4 (0.4),85.10%,16.7,21,31.8,35,15.6,19,0.4,45,0.841,22,2009
USC,Pac-10,4-Sep,8.2 (-0.8),84.90%,16.6,22,35.2,22,17.4,26,-1.2,98,0.868,35,2009
Clemson,ACC,5-Sep,9.3 (0.3),84.70%,16.4,23,31.1,39,14.4,13,-0.2,65,0.869,37,2009
Tennessee,SEC,6-Jul,8.2 (1.2),84.20%,16.2,24,32.9,29,15.5,17,-1.3,100,0.793,2,2009
Arkansas,SEC,5-Aug,7.7 (-0.3),84.00%,16,25,38,8,21.1,38,-0.9,91,0.795,4,2009
Utah,MWC,3-Oct,9.5 (-0.5),82.40%,15.1,26,30.4,44,17,24,1.7,13,0.909,71,2009
Oklahoma State,Big 12,4-Sep,7.6 (-1.4),80.50%,14,27,28.7,54,16.6,22,1.9,7,0.829,12,2009
South Carolina,SEC,6-Jul,7.4 (0.4),80.20%,13.9,28,27,62,13.2,12,0.1,55,0.807,6,2009
West Virginia,Big East,4-Sep,8.6 (-0.4),80.10%,13.8,29,31.1,38,19,28,1.7,14,0.904,68,2009
BYU,MWC,2-Nov,10.0 (-1.0),77.90%,12.7,30,34,26,20.7,37,-0.5,78,0.893,62,2009
Boston College,ACC,5-Aug,7.0 (-1.0),77.80%,12.7,31,27.1,60,15.9,21,1.5,20,0.879,46,2009
Oregon State,Pac-10,5-Aug,8.2 (0.2),77.80%,12.6,32,35.3,21,24.7,52,2.1,6,0.878,43,2009
Missouri,Big 12,5-Aug,7.9 (-0.1),75.90%,11.8,33,34.2,24,23.8,47,1.3,23,0.889,59,2009
Notre Dame,Ind,6-Jun,7.4 (1.4),74.20%,11,34,39.2,3,28.7,77,0.4,43,0.89,60,2009
Stanford,Pac-10,5-Aug,7.8 (-0.2),73.70%,10.7,35,39.2,4,30.6,84,2.2,5,0.867,32,2009
Georgia Tech,ACC,3-Nov,7.9 (-3.1),71.50%,9.7,36,35.4,19,25.8,60,0.1,57,0.834,18,2009
Florida State,ACC,6-Jul,6.6 (-0.4),69.40%,8.8,37,38.5,6,30.6,85,1,30,0.832,16,2009
Michigan State,Big Ten,7-Jun,7.1 (1.1),69.10%,8.7,38,32.1,34,24.5,51,1.2,25,0.868,34,2009
North Carolina,ACC,5-Aug,7.2 (-0.8),68.70%,8.5,39,22.5,86,14.5,15,0.6,39,0.863,31,2009
Michigan,Big Ten,7-May,5.4 (0.4),67.80%,8.2,40,32.6,32,25.6,57,1.3,24,0.873,39,2009
Arizona State,Pac-10,8-Apr,7.5 (3.5),67.80%,8.2,41,25.2,71,15.6,20,-1.4,105,0.876,42,2009
Kansas,Big 12,7-May,6.4 (1.4),67.30%,8,42,32.7,30,23.8,46,-1,92,0.835,19,2009
Texas A&M,Big 12,7-Jun,6.8 (0.8),66.40%,7.6,43,35.4,20,26.9,65,-0.9,90,0.832,17,2009
Arizona,Pac-10,5-Aug,7.4 (-0.6),65.00%,7.1,44,28.1,55,20.4,36,-0.6,81,0.86,29,2009
California,Pac-10,5-Aug,7.0 (-1.0),63.70%,6.5,45,30.2,47,22.5,42,-1.2,99,0.885,52,2009
Connecticut,Big East,5-Aug,7.4 (-0.6),60.90%,5.4,46,30.3,46,24.8,53,-0.1,62,0.894,65,2009
Purdue,Big Ten,7-May,6.4 (1.4),59.90%,5.1,47,29.3,51,23.8,48,-0.4,74,0.881,50,2009
Kansas State,Big 12,6-Jun,6.0 (0.0),59.60%,5,48,25.1,73,20.3,35,0.2,51,0.869,36,2009
Air Force,MWC,5-Aug,8.0 (0.0),59.00%,4.7,49,21.3,95,17.4,25,0.8,33,0.923,81,2009
Mississippi State,SEC,7-May,5.9 (0.9),59.00%,4.7,50,27.8,56,24.1,49,1.1,28,0.793,3,2009
UCLA,Pac-10,6-Jul,5.5 (-1.5),58.70%,4.6,51,24.3,77,21.6,39,1.8,9,0.879,45,2009
Fresno State,WAC,5-Aug,6.8 (-1.2),57.40%,4.1,52,33.5,28,32.1,91,2.8,1,0.929,86,2009
Houston,C-USA,4-Oct,8.8 (-1.2),57.10%,4,53,37.8,9,33.8,100,0,58,0.932,91,2009
Central Michigan,MAC,2-Dec,10.5 (-1.5),55.70%,3.5,54,29.1,52,25.7,58,0.1,56,0.961,110,2009
Wake Forest,ACC,7-Apr,6.4 (2.4),55.20%,3.3,55,32.6,31,28.3,74,-1,93,0.888,57,2009
Rutgers,Big East,4-Sep,8.3 (-0.7),54.80%,3.1,56,22.1,90,19,29,0.1,52,0.927,83,2009
South Florida,Big East,5-Jul,7.6 (0.6),53.80%,2.8,57,26.9,63,22.5,41,-1.7,108,0.888,58,2009
Southern Miss,C-USA,6-Jul,8.2 (1.2),52.90%,2.4,58,30.4,45,27.6,69,-0.4,71,0.967,117,2009
Kentucky,SEC,6-Jul,5.8 (-1.2),51.90%,2.1,59,23.8,78,23.1,44,1.3,22,0.816,9,2009
Iowa State,Big 12,6-Jul,5.3 (-1.7),49.00%,1,60,26.5,64,27,67,1.5,19,0.899,67,2009
Virginia,ACC,9-Mar,4.1 (1.1),48.20%,0.7,61,19.2,102,19.2,30,0.8,35,0.829,13,2009
NC State,ACC,7-Apr,4.8 (0.8),47.90%,0.6,62,30.7,42,29.8,80,-0.2,64,0.862,30,2009
Nevada,WAC,5-Aug,8.1 (0.1),47.70%,0.5,63,35.6,17,34.3,102,-0.7,85,0.94,97,2009
Troy,Sun Belt,4-Sep,9.5 (0.5),47.60%,0.5,64,31.3,37,31.6,87,0.8,34,0.925,82,2009
Minnesota,Big Ten,7-Jun,5.7 (-0.3),47.10%,0.3,65,22.1,89,22.5,43,0.7,36,0.874,40,2009
Colorado,Big 12,9-Mar,4.1 (1.1),46.80%,0.2,66,20.6,98,19.3,31,-1.1,94,0.855,25,2009
Washington,Pac-10,7-May,3.8 (-1.2),45.80%,-0.2,67,29.9,49,30.5,83,0.4,42,0.851,24,2009
Tulsa,C-USA,7-May,6.8 (1.8),43.30%,-1.1,68,27.2,59,30.1,81,1.8,10,0.929,87,2009
Middle Tennessee,Sun Belt,3-Oct,8.9 (-1.1),40.60%,-2.1,69,23.5,82,25.2,54,-0.4,75,0.964,115,2009
East Carolina,C-USA,5-Sep,7.4 (-1.6),40.30%,-2.3,70,24.5,74,26.7,64,-0.1,61,0.911,73,2009
Syracuse,Big East,8-Apr,5.2 (1.2),38.90%,-2.8,71,23.3,83,26.4,63,0.4,46,0.888,56,2009
Navy,Ind,4-Oct,7.5 (-2.5),38.60%,-2.9,72,24.4,75,28,72,0.6,37,0.921,80,2009
Bowling Green,MAC,6-Jul,7.0 (0.0),37.60%,-3.3,73,27.6,58,29,79,-1.9,113,0.95,103,2009
Baylor,Big 12,8-Apr,4.7 (0.7),36.70%,-3.6,74,22.7,85,25.6,56,-0.7,84,0.816,10,2009
